NDL : Added flight: Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=75] at Sun Oct 09 20:13:59 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=74], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=73], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=72], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=71], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=70], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=69], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=68], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=67], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=66], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=65], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=64], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=63], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=62], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=61], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
NDL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Tue Dec 20 00:00:00 EST 2016, seats=75, availableSeats=60], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
